Time(s)	X	Y	Z
338,09	-0,814	1,851	-1,300
338,59	-0,831	1,854	-1,281
339,10	-0,763	1,840	-1,211
339,60	-0,706	1,828	-1,181
340,10	-0,803	1,788	-1,214
340,61	-0,851	1,781	-1,273
341,13	-0,866	1,789	-1,262
341,64	-0,846	1,789	-1,238
342,14	-0,839	1,825	-1,246
342,64	-0,828	1,824	-1,247
343,14	-0,808	1,813	-1,238
343,65	-0,803	1,823	-1,259
344,17	-0,805	1,840	-1,264
344,67	-0,795	1,844	-1,264
345,18	-0,793	1,846	-1,272
345,68	-0,792	1,846	-1,280
346,18	-0,786	1,846	-1,279
346,70	-0,780	1,846	-1,277
347,20	-0,775	1,849	-1,271
347,71	-0,776	1,848	-1,267
348,22	-0,770	1,848	-1,265
348,72	-0,768	1,847	-1,271
349,22	-0,769	1,847	-1,277
349,72	-0,769	1,845	-1,283
350,23	-0,769	1,846	-1,287
350,74	-0,768	1,845	-1,284
351,25	-0,766	1,827	-1,256
351,76	-0,749	1,823	-1,228
352,26	-0,742	1,819	-1,222
352,76	-0,739	1,826	-1,225
353,27	-0,748	1,838	-1,232
353,79	-0,763	1,844	-1,250
354,30	-0,765	1,845	-1,256
354,80	-0,765	1,844	-1,272
355,31	-0,782	1,840	-1,263
355,83	-0,792	1,833	-1,253
356,33	-0,791	1,837	-1,261
356,84	-0,782	1,833	-1,253
357,35	-0,779	1,828	-1,241
357,86	-0,765	1,829	-1,230
358,36	-0,762	1,833	-1,231
358,87	-0,757	1,835	-1,231
359,37	-0,754	1,836	-1,230
359,88	-0,754	1,837	-1,232
360,39	-0,751	1,836	-1,234
360,89	-0,746	1,837	-1,237
361,39	-0,743	1,837	-1,243
361,90	-0,741	1,838	-1,248
362,40	-0,735	1,838	-1,248
362,92	-0,733	1,839	-1,246
363,43	-0,736	1,839	-1,245
363,93	-0,739	1,838	-1,245
364,43	-0,740	1,837	-1,244
364,95	-0,733	1,837	-1,244
365,45	-0,731	1,838	-1,248
365,95	-0,726	1,840	-1,255
366,46	-0,722	1,841	-1,252
366,96	-0,723	1,841	-1,245
367,47	-0,725	1,839	-1,243
367,97	-0,723	1,838	-1,241
368,49	-0,721	1,838	-1,245
369,00	-0,723	1,838	-1,242
369,51	-0,724	1,838	-1,242
370,03	-0,726	1,838	-1,244
370,53	-0,725	1,839	-1,245
371,04	-0,727	1,840	-1,239
371,56	-0,729	1,839	-1,237
372,06	-0,730	1,839	-1,239
372,56	-0,730	1,838	-1,247
373,07	-0,728	1,839	-1,256
373,58	-0,728	1,840	-1,256
374,10	-0,728	1,840	-1,255
374,61	-0,728	1,839	-1,255
375,11	-0,727	1,838	-1,254
375,61	-0,728	1,838	-1,254
376,11	-0,731	1,838	-1,254
376,61	-0,732	1,837	-1,251
377,13	-0,735	1,837	-1,251
377,64	-0,739	1,836	-1,250
378,14	-0,737	1,836	-1,250
378,64	-0,735	1,836	-1,251
379,15	-0,736	1,836	-1,252
379,67	-0,735	1,835	-1,256
380,17	-0,733	1,833	-1,259
380,68	-0,732	1,834	-1,262
381,19	-0,733	1,836	-1,266
381,70	-0,744	1,838	-1,264
382,21	-0,742	1,837	-1,262
382,72	-0,734	1,837	-1,271
383,22	-0,735	1,836	-1,279
383,74	-0,732	1,835	-1,283
384,25	-0,732	1,836	-1,288
384,75	-0,729	1,837	-1,289
385,26	-0,727	1,838	-1,290
385,78	-0,729	1,838	-1,288
386,28	-0,729	1,837	-1,285
386,79	-0,729	1,838	-1,287
387,31	-0,727	1,838	-1,291
387,82	-0,730	1,838	-1,295
388,32	-0,738	1,836	-1,289
388,83	-0,747	1,834	-1,279
389,33	-0,752	1,833	-1,277
389,83	-0,757	1,833	-1,275
390,35	-0,759	1,833	-1,276
390,85	-0,767	1,832	-1,272
391,36	-0,765	1,833	-1,263
391,88	-0,761	1,833	-1,262
392,38	-0,756	1,830	-1,264
392,88	-0,757	1,828	-1,265
393,38	-0,755	1,829	-1,265
393,88	-0,753	1,832	-1,264
